id,lat,long,timezone,yr,mon,day,hr,temp,rh,ws,prec,grass_fuel_load,percent_cured,solrad,sunrise,sunset,sunlight_hours,mcffmc,ffmc,dmc,dc,isi,bui,fwi,dsr,mcgfmc_matted,mcgfmc_standing,gfmc,gsi,gfwi,prec_cumulative,canopy_drying
PRF,45.996,-77.427,-4,2007,5,13,9,7.023,36.41,5.806,0.0,0.35,82.51,0.3748,5.6813,20.5118,14.8304,15.92,85.3431,12.9713,33.184,2.9573,13.1207,3.6477,0.2687,16.0749,19.2613,82.9124,3.6146,12.4303,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,10,9.09,32.34,6.654,0.0,0.35,82.51,0.5131,5.6813,20.5118,14.8304,15.2252,85.9624,13.1079,33.5079,3.365,13.2539,4.2379,0.3504,12.678,17.1729,85.3594,8.7261,18.7255,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,11,11.24,26.91,12.04,0.0,0.35,82.51,0.6399,5.6813,20.5118,14.8304,14.1867,86.898,13.2902,33.864,5.0384,13.4167,6.4004,0.727,10.1755,15.0173,86.5055,25.4978,26.3846,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,12,12.59,26.06,10.13,0.0,0.35,82.51,0.7155,5.6813,20.5118,14.8304,13.2657,87.7378,13.4969,34.2403,5.1588,13.5958,6.5911,0.7658,8.5459,13.7691,87.8138,24.9061,26.2169,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,13,13.64,23.39,11.26,0.0,0.35,82.51,0.7552,5.6813,20.5118,14.8304,12.3121,88.6177,13.7289,34.6324,6.1956,13.7906,7.8457,1.0425,7.5505,12.702,88.267,31.3907,27.8698,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,14,15.41,22.64,11.25,0.0,0.35,82.51,0.7565,5.6813,20.5118,14.8304,11.421,89.4493,13.9935,35.0511,6.978,14.007,8.777,1.2714,6.9241,11.8732,88.6478,33.5538,28.3458,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,15,16.16,21.14,11.34,0.0,0.35,82.51,0.7095,5.6813,20.5118,14.8304,10.6063,90.218,14.2764,35.481,7.8266,14.2736,9.7705,1.5372,6.6701,11.2141,88.7839,34.8023,28.6067,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,16,16.78,19.78,16.51,0.0,0.35,82.51,0.6245,5.6813,20.5118,14.8304,9.8234,90.9641,14.5753,35.9202,11.2985,14.5683,13.2926,2.6507,6.6701,10.6366,87.8157,52.0021,31.4753,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,17,17.49,19.88,12.96,0.0,0.35,82.51,0.5079,5.6813,20.5118,14.8304,9.2487,91.5165,14.8864,36.37,10.2206,14.8752,12.4002,2.3439,6.6701,10.3529,88.4974,40.3692,29.6666,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,18,17.63,19.13,10.15,0.0,0.35,82.51,0.368,5.6813,20.5118,14.8304,8.7894,91.9609,15.2029,36.822,9.4481,15.1875,11.7595,2.1338,6.6701,10.1174,88.9847,30.5713,27.6808,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,19,17.36,21.28,12.27,0.0,0.35,82.51,0.2147,5.6813,20.5118,14.8304,8.6092,92.136,15.5063,37.2699,10.7769,15.4871,13.1803,2.6112,7.2619,10.1174,88.2742,35.6681,28.7822,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,20,15.38,25.51,6.279,0.0,0.35,82.51,0.0606,5.6813,20.5118,14.8304,8.6092,92.136,15.7606,37.6881,7.9687,15.7389,10.4125,1.7204,8.381,10.2869,88.4331,12.7345,21.4255,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,21,9.98,41.28,4.659,0.0,0.35,82.51,0.0,5.6813,20.5118,14.8304,9.119,91.6417,15.7606,37.6881,6.8476,15.7389,9.1657,1.3728,10.8402,11.977,86.868,5.068,14.8443,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,22,6.717,53.51,3.655,0.0,0.35,82.51,0.0,5.6813,20.5118,14.8304,9.947,90.8458,15.7606,37.6881,5.8126,15.7389,7.9483,1.0667,13.3589,14.0445,85.0825,2.9511,10.9817,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,13,23,6.39,53.76,3.188,0.0,0.35,82.51,0.0,5.6813,20.5118,14.8304,10.6544,90.1723,15.7606,37.6881,5.1562,15.7389,7.137,0.8816,14.8931,15.3127,83.9512,1.998,8.1958,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,14,0,5.776,59.4,3.136,0.0,0.35,81.88,0.0,5.6606,20.5321,14.8715,11.4421,89.4296,15.7606,37.6881,4.6231,15.7389,6.4516,0.7374,16.28,16.5334,82.7545,1.4172,5.7423,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,14,1,5.264,62.23,4.028,0.0,0.35,81.88,0.0,5.6606,20.5321,14.8715,12.2354,88.6888,15.7606,37.6881,4.3477,15.7389,6.0872,0.6652,17.4005,17.5505,81.8653,1.2497,4.844,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,14,2,3.523,69.5,2.864,0.0,0.35,81.88,0.0,5.6606,20.5321,14.8715,13.1201,87.8715,15.7606,37.6881,3.6463,15.7389,5.1224,0.4902,18.7731,18.8645,80.8777,0.4286,1.6217,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,14,3,2.308,74.2,2.814,0.0,0.35,81.88,0.0,5.6606,20.5321,14.8715,14.0411,87.0301,15.7606,37.6881,3.2252,15.7389,4.5137,0.3918,20.1413,20.1976,79.8426,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,14,4,1.284,79.67,3.357,0.0,0.35,81.88,0.0,5.6606,20.5321,14.8715,15.0651,86.1059,15.7606,37.6881,2.908,15.7389,4.0379,0.3217,21.6782,21.7126,78.6664,0.0,0.0,0.0,0.0
PRF,45.996,-77.427,-4,2007,5,14,5,0.27,84.5,1.858,0.0,0.35,81.88,0.0,5.6606,20.5321,14.8715,16.1073,85.1771,15.7606,37.6881,2.3688,15.7389,3.1869,0.2116,23.2454,23.2673,77.5258,0.0,0.0,0.0,0.0
